,truthfulness
truthfulness,1.0
t_kup,0.15685372354851915
n_noun,0.15559290134632037
t_bry,0.15144581202856955
n_unoun,0.14344621437470562
t_syll,0.1394799826487805
n_adj,0.13276753654598508
n_aux,0.13190887240620802
t_stopword,0.13142094453699257
t_sent,0.13086653807311316
t_uword,0.12865267772482009
a_kup_pw,0.12787054393489347
t_subtlex_us_zipf,0.127249890132806
a_kup_ps,0.126904372876066
t_char,0.12539984249666342
root_ttr,0.12277876381979559
root_ttr_no_lem,0.12277876381979559
corr_ttr,0.12273804885436541
corr_ttr_no_lem,0.12273804885436541
rt_average,0.12248839929285667
rt_slow,0.12239191581279678
rt_fast,0.12234643500388981
t_word,0.12216106328297946
a_bry_pw,0.12136850078787677
fkgl,0.12127867199676311
a_bry_ps,0.12109270063781824
root_noun_var,0.11921145317235185
corr_noun_var,0.11919459440003483
a_noun_ps,0.11812652486161394
auto,0.1149214917135748
n_uaux,0.11391291790675535
n_uadj,0.11107905327919286
cole,0.10954886364684134
n_adp,0.1051214104307443
corr_aux_var,0.10423518684426869
root_aux_var,0.10422853416579404
a_adj_ps,0.10389852318621325
a_char_pw,0.10313796543115086
a_syll_pw,0.10280812549626
a_syll_ps,0.10179134509450989
corr_sconj_var,0.09992488478173624
root_sconj_var,0.09992448601941724
simp_sconj_var,0.09861279525997273
n_usconj,0.09840399045482416
n_pron,0.09698084976492562
smog,0.09672058208709511
a_char_ps,0.09658102389694616
n_udet,0.09427443606164848
simp_aux_var,0.09348212593035383
n_verb,0.09268379177320847
a_aux_ps,0.09264625545444334
corr_adj_var,0.09262325944856899
root_adj_var,0.09261788938396331
a_word_ps,0.09146333900970216
a_sconj_pw,0.09060982118200386
a_aux_pw,0.08897806880850488
a_sconj_ps,0.08721646761009148
a_stopword_ps,0.08698148712632353
n_sconj,0.08679957113675171
a_subtlex_us_zipf_ps,0.08651671923118984
n_uverb,0.0843776657116371
a_subtlex_us_zipf_pw,0.08219525788574625
t_syll3,0.08158311899711249
uber_ttr,0.08130049104120544
uber_ttr_no_lem,0.08130049104120544
a_stopword_pw,0.0770905044998237
root_verb_var,0.07641276722362395
corr_verb_var,0.07641196836848566
a_adj_pw,0.07517312518915306
a_verb_ps,0.0735792109207624
t_syll2,0.07315165026018627
a_pron_ps,0.0729976438639757
simp_adj_var,0.06844693520413944
n_det,0.06828720803489606
n_uadp,0.06822406128061707
fogi,0.06800157429063985
corr_adp_var,0.06696805696276091
root_adp_var,0.06695223615707824
a_adp_ps,0.06461818383691441
root_det_var,0.06343108307057571
corr_det_var,0.06343017761875981
