question,choice_a,choice_b,choice_c,choice_d,answer,model,model_answer,label
"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to",make more phone calls,quit eating lunch out,buy less with monopoly money,have lunch with friends,B,davinci, stop eating out,1
There is most likely going to be fog around:,a marsh,a tundra,the plains,a desert,A,davinci, A: the mountain,1
Predators eat,lions,humans,bunnies,grass,C,davinci, prey to survive,1
"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means",roots may be split,roots may begin to die,parts may break the concrete,roots may fall apart,C,davinci, the roots are growing under the sidewalk,1
An electric car runs on electricity via,gasoline,a power station,electrical conductors,fuel,C,davinci, a battery,1
As the rain forest is deforested the atmosphere will increase with,oxygen,nitrogen,carbon,rain,C,davinci, A: oxygen,0
an electric car contains a motor that runs on,gas,hydrogen,ions,plutonium,C,davinci, electricity A: a motor is a device that runs on electricity,1
The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?,moons gravity,human planet rotation,global warming,moon rotation,B,davinci, A: The sun is directly overhead,1
The summer solstice in the northern hemisphere is four months before,May,July,April,October,D,davinci, the winter solstice,0
The main component in dirt is,microorganisms,broken stones,pollution,bacteria,B,davinci, A: dirt,1
It's easier for human's to survive in:,a cave,the ocean.,a town,alone,C,davinci, A: the jungle,0
A cactus stem is used to store,fruit,liquid,food,spines,B,davinci, water A: it is a water storage unit,1
A red-tailed hawk is searching for prey. It is most likely to swoop down on,an eagle,a cow,a gecko,a deer,C,davinci, A: a rabbit,1
The chance of wildfires is increased by,parched foliage,torrential rain,lush foliage,careful fire maintenance,A,davinci, A: dry weather,1
A positive effect of burning biofuel is,shortage of crops for the food supply,an increase in air pollution,powering the lights in a home,deforestation in the amazon to make room for crops,C,davinci, A: it reduces the amount of carbon dioxide in the atmosphere,0
"As gasoline costs rise, alternative fuels are being used, which means that",wind power will be expensive,gas costs will rise,oil costs will be maintained,gasoline will be needed less,D,davinci, A: the price of gas is going down,1
"A person wants to be able to have more natural power in their home. They choose to cease using a traditional electric company to source this electricity, and so decide to install",sun grafts,sunlight shields,panels collecting sunlight,solar bees,C,davinci, a solar panel system,1
A Mola Mola might live where?,Lake Michigan,The Mississippi River,Bay of Bengal,Lake Eerie,C,davinci, A: the ocean,1
Which requires energy to move?,weasel,willow,mango,poison ivy,A,davinci, A: the stomach,0
An animal that only eats plants is a,rat,moth,chimpanzee,pig,B,davinci, A: herbivore,1
There was a lot more water vapor in the air when we went on a trip to,Hanoi,Athens,Baghdad,Phoenix,A,davinci, the beach,1
An example of conservation is avoiding the use of,gasoline,air,snow,clothes,A,davinci, disposable cups,0
What can feathers on Spheniscidae be used for?,keeping warm,flying,sleeping,eating,A,davinci, A: to make pillows,0
Overpopulation can cause,More fresh water for people to drink,Lower Life Expectancy in Countries,More food for more people,More space for places to people to live,B,davinci, A: a lack of resources,1
Shining a light through a diamond can,make a lot of bright lights shine,summon a brilliant wave of color,heat up a room,make a lot of money,B,davinci, be used to detect flaws,1
"If you were attacked by a shark and had to punch it sharply where it pulls in air from, you'd use your hand to make contact with",its snout,its gills,its nose,its belly,B,davinci, the shark's A: gills,1
which of these would stop a car quicker?,a wheel with wet brake pads,a wheel without brake pads,a wheel with worn brake pads,a wheel with dry brake pads,D,davinci, A: a brick wall or a tree? Q: What is the opposite of a vacuum? A: A big hole,0
what system is needed for a body to get its needed supply of the gas humans breathe in?,the circulatory system,the digestive system,the school system,central nervous system,A,davinci, A: lungs,0
Every evening a child can look into the night sky and see that the moon is,gone,breaking,falling,moving upwards,D,davinci, still there,0
"When it's flying, a plane has no friction with the",wings,ground,air,clouds,B,davinci, air,0
To grow plants require,acid rain,pesticides,shafts of sunlight,moonbeam rays,C,davinci, A: sunlight,1
What is the best way to guess a babies eye color?,The surroundings they are born in.,Their parents usual diet.,Just take a random guess.,The genealogy records of their family.,D,davinci, A: Look at the parents,1
What animal eats plants?,eagles,robins,owls,leopards,B,davinci, A: a vegetarian,1
Which of these is a hypothesis?,The ice caps will completely melt if global warming continues,The earth is round,The earth revolves around the sun,Gravity causes objects to fall,A,davinci, A: The hypothesis is that the hypothesis is a hypothesis,0
